Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2007.03,Central bank,211,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2007.03,Central bank,211,Financial liabilities Closing balance loans,LE00000,AFL0400,5182
2007.03,Central bank,211,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,1609
2007.03,Central bank,211,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Central bank,211,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,0
2007.03,Central bank,211,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,397
2007.03,Central bank,211,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,56
2007.03,Central bank,211,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,42
2007.03,Central bank,211,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,14
2007.03,Central bank,211,Closing balance net worth,LE00000,B900000,0
2007.03,Central bank,211,Closing balance total liabilities and net worth,LE00000,L000000,20719
2007.03,Registered banks,221,Closing balance total assets,LE00000,A000000,300264
2007.03,Registered banks,221,Financial assets Closing balance Total financial assets,LE00000,AFA0000,293582
2007.03,Registered banks,221,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Registered banks,221,Financial assets Closing balance currency and deposits,LE00000,AFA0200,11993
2007.03,Registered banks,221,Financial assets Closing balance debt securities,LE00000,AFA0300,16493
2007.03,Registered banks,221,Financial assets Closing balance loans,LE00000,AFA0400,253893
2007.03,Registered banks,221,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,377
2007.03,Registered banks,221,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Registered banks,221,Financial assets Closing balance financial derivatives,LE00000,AFA0700,8104
2007.03,Registered banks,221,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,2721
2007.03,Registered banks,221,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,318750
2007.03,Registered banks,221,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Registered banks,221,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,161122
2007.03,Registered banks,221,Financial liabilities Closing balance debt securities,LE00000,AFL0300,86031
2007.03,Registered banks,221,Financial liabilities Closing balance loans,LE00000,AFL0400,29196
2007.03,Registered banks,221,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,30897
2007.03,Registered banks,221,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Registered banks,221,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,8845
2007.03,Registered banks,221,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,2659
2007.03,Registered banks,221,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,6682
2007.03,Registered banks,221,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,2082
2007.03,Registered banks,221,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,4600
2007.03,Registered banks,221,Closing balance net worth,LE00000,B900000,-18486
2007.03,Registered banks,221,Closing balance total liabilities and net worth,LE00000,L000000,300264
2007.03,Other depository institutions,222,Closing balance total assets,LE00000,A000000,16502
2007.03,Other depository institutions,222,Financial assets Closing balance Total financial assets,LE00000,AFA0000,16308
2007.03,Other depository institutions,222,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Other depository institutions,222,Financial assets Closing balance currency and deposits,LE00000,AFA0200,..
2007.03,Other depository institutions,222,Financial assets Closing balance debt securities,LE00000,AFA0300,10
2007.03,Other depository institutions,222,Financial assets Closing balance loans,LE00000,AFA0400,16298
2007.03,Other depository institutions,222,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,..
2007.03,Other depository institutions,222,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Other depository institutions,222,Financial assets Closing balance financial derivatives,LE00000,AFA0700,..
2007.03,Other depository institutions,222,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,..
2007.03,Other depository institutions,222,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,16502
2007.03,Other depository institutions,222,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Other depository institutions,222,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,14569
2007.03,Other depository institutions,222,Financial liabilities Closing balance debt securities,LE00000,AFL0300,..
2007.03,Other depository institutions,222,Financial liabilities Closing balance loans,LE00000,AFL0400,..
2007.03,Other depository institutions,222,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,1933
2007.03,Other depository institutions,222,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Other depository institutions,222,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,..
2007.03,Other depository institutions,222,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2007.03,Other depository institutions,222,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,194
2007.03,Other depository institutions,222,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,181
2007.03,Other depository institutions,222,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,13
2007.03,Other depository institutions,222,Closing balance net worth,LE00000,B900000,0
2007.03,Other depository institutions,222,Closing balance total liabilities and net worth,LE00000,L000000,16502
2007.03,Investment funds,231,Closing balance total assets,LE00000,A000000,40181
2007.03,Investment funds,231,Financial assets Closing balance Total financial assets,LE00000,AFA0000,40037
2007.03,Investment funds,231,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Investment funds,231,Financial assets Closing balance currency and deposits,LE00000,AFA0200,9146
2007.03,Investment funds,231,Financial assets Closing balance debt securities,LE00000,AFA0300,12842
2007.03,Investment funds,231,Financial assets Closing balance loans,LE00000,AFA0400,0
2007.03,Investment funds,231,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,17736
2007.03,Investment funds,231,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Investment funds,231,Financial assets Closing balance financial derivatives,LE00000,AFA0700,0
2007.03,Investment funds,231,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,313
2007.03,Investment funds,231,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,40181
2007.03,Investment funds,231,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Investment funds,231,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Investment funds,231,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2007.03,Investment funds,231,Financial liabilities Closing balance loans,LE00000,AFL0400,0
2007.03,Investment funds,231,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,40181
2007.03,Investment funds,231,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Investment funds,231,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,..
2007.03,Investment funds,231,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2007.03,Investment funds,231,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,143
2007.03,Investment funds,231,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,143
2007.03,Investment funds,231,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,0
2007.03,Investment funds,231,Closing balance net worth,LE00000,B900000,0
2007.03,Investment funds,231,Closing balance total liabilities and net worth,LE00000,L000000,40181
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance total assets,LE00000,A000000,83628
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance Total financial assets,LE00000,AFA0000,82880
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance currency and deposits,LE00000,AFA0200,1314
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance debt securities,LE00000,AFA0300,42957
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance loans,LE00000,AFA0400,33315
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,1784
2007.03,Other financial intermediaries excluding insurance and pension funds,241,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance financial derivatives,LE00000,AFA0700,99
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3411
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,84278
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance debt securities,LE00000,AFL0300,55445
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance loans,LE00000,AFL0400,19291
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,8020
2007.03,Other financial intermediaries excluding insurance and pension funds,241,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,130
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,1393
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,749
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,735
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,14
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance net worth,LE00000,B900000,-650
2007.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance total liabilities and net worth,LE00000,L000000,83628
2007.03,Insurance corporations,251,Closing balance total assets,LE00000,A000000,23146
2007.03,Insurance corporations,251,Financial assets Closing balance Total financial assets,LE00000,AFA0000,21681
2007.03,Insurance corporations,251,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Insurance corporations,251,Financial assets Closing balance currency and deposits,LE00000,AFA0200,C
2007.03,Insurance corporations,251,Financial assets Closing balance debt securities,LE00000,AFA0300,C
2007.03,Insurance corporations,251,Financial assets Closing balance loans,LE00000,AFA0400,C
2007.03,Insurance corporations,251,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,6948
2007.03,Insurance corporations,251,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,2285
2007.03,Insurance corporations,251,Financial assets Closing balance financial derivatives,LE00000,AFA0700,159
2007.03,Insurance corporations,251,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3566
2007.03,Insurance corporations,251,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,24139
2007.03,Insurance corporations,251,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Insurance corporations,251,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Insurance corporations,251,Financial liabilities Closing balance debt securities,LE00000,AFL0300,C
2007.03,Insurance corporations,251,Financial liabilities Closing balance loans,LE00000,AFL0400,C
2007.03,Insurance corporations,251,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,10619
2007.03,Insurance corporations,251,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,12666
2007.03,Insurance corporations,251,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,23
2007.03,Insurance corporations,251,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,553
2007.03,Insurance corporations,251,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,1465
2007.03,Insurance corporations,251,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,1016
2007.03,Insurance corporations,251,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,449
2007.03,Insurance corporations,251,Closing balance net worth,LE00000,B900000,-993
2007.03,Insurance corporations,251,Closing balance total liabilities and net worth,LE00000,L000000,23146
2007.03,Pension funds,261,Closing balance total assets,LE00000,A000000,31919
2007.03,Pension funds,261,Financial assets Closing balance Total financial assets,LE00000,AFA0000,31813
2007.03,Pension funds,261,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Pension funds,261,Financial assets Closing balance currency and deposits,LE00000,AFA0200,862
2007.03,Pension funds,261,Financial assets Closing balance debt securities,LE00000,AFA0300,1829
2007.03,Pension funds,261,Financial assets Closing balance loans,LE00000,AFA0400,0
2007.03,Pension funds,261,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,19832
2007.03,Pension funds,261,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,9290
2007.03,Pension funds,261,Financial assets Closing balance financial derivatives,LE00000,AFA0700,0
2007.03,Pension funds,261,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,0
2007.03,Pension funds,261,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,31919
2007.03,Pension funds,261,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Pension funds,261,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Pension funds,261,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2007.03,Pension funds,261,Financial liabilities Closing balance loans,LE00000,AFL0400,0
2007.03,Pension funds,261,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2007.03,Pension funds,261,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,31919
2007.03,Pension funds,261,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,..
2007.03,Pension funds,261,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2007.03,Pension funds,261,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,106
2007.03,Pension funds,261,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,67
2007.03,Pension funds,261,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,39
2007.03,Pension funds,261,Closing balance net worth,LE00000,B900000,0
2007.03,Pension funds,261,Closing balance total liabilities and net worth,LE00000,L000000,31919
2007.03,Financial auxiliaries,270,Closing balance total assets,LE00000,A000000,5340
2007.03,Financial auxiliaries,270,Financial assets Closing balance Total financial assets,LE00000,AFA0000,4245
2007.03,Financial auxiliaries,270,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Financial auxiliaries,270,Financial assets Closing balance currency and deposits,LE00000,AFA0200,C
2007.03,Financial auxiliaries,270,Financial assets Closing balance debt securities,LE00000,AFA0300,C
2007.03,Financial auxiliaries,270,Financial assets Closing balance loans,LE00000,AFA0400,C
2007.03,Financial auxiliaries,270,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,1825
2007.03,Financial auxiliaries,270,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Financial auxiliaries,270,Financial assets Closing balance financial derivatives,LE00000,AFA0700,241
2007.03,Financial auxiliaries,270,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,501
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,5340
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance debt securities,LE00000,AFL0300,C
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance loans,LE00000,AFL0400,C
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,3334
2007.03,Financial auxiliaries,270,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,250
2007.03,Financial auxiliaries,270,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,364
2007.03,Financial auxiliaries,270,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,1094
2007.03,Financial auxiliaries,270,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,745
2007.03,Financial auxiliaries,270,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,349
2007.03,Financial auxiliaries,270,Closing balance net worth,LE00000,B900000,-0
2007.03,Financial auxiliaries,270,Closing balance total liabilities and net worth,LE00000,L000000,5340
2007.03,Captive financial institutions,281,Closing balance total assets,LE00000,A000000,278647
2007.03,Captive financial institutions,281,Financial assets Closing balance Total financial assets,LE00000,AFA0000,274461
2007.03,Captive financial institutions,281,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Captive financial institutions,281,Financial assets Closing balance currency and deposits,LE00000,AFA0200,11091
2007.03,Captive financial institutions,281,Financial assets Closing balance debt securities,LE00000,AFA0300,20858
2007.03,Captive financial institutions,281,Financial assets Closing balance loans,LE00000,AFA0400,61959
2007.03,Captive financial institutions,281,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,151426
2007.03,Captive financial institutions,281,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Captive financial institutions,281,Financial assets Closing balance financial derivatives,LE00000,AFA0700,14
2007.03,Captive financial institutions,281,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,29112
2007.03,Captive financial institutions,281,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,290061
2007.03,Captive financial institutions,281,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Captive financial institutions,281,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Captive financial institutions,281,Financial liabilities Closing balance debt securities,LE00000,AFL0300,17876
2007.03,Captive financial institutions,281,Financial liabilities Closing balance loans,LE00000,AFL0400,73825
2007.03,Captive financial institutions,281,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,166987
2007.03,Captive financial institutions,281,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Captive financial institutions,281,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,550
2007.03,Captive financial institutions,281,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,30823
2007.03,Captive financial institutions,281,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,4186
2007.03,Captive financial institutions,281,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,660
2007.03,Captive financial institutions,281,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,3526
2007.03,Captive financial institutions,281,Closing balance net worth,LE00000,B900000,-11414
2007.03,Captive financial institutions,281,Closing balance total liabilities and net worth,LE00000,L000000,278647
2007.03,Central government institutions excluding funded social insurance schemes,311,Closing balance total assets,LE00000,A000000,146273
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance Total financial assets,LE00000,AFA0000,82958
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,45
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance currency and deposits,LE00000,AFA0200,6542
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance debt securities,LE00000,AFA0300,8374
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance loans,LE00000,AFA0400,16477
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,40474
2007.03,Central government institutions excluding funded social insurance schemes,311,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance financial derivatives,LE00000,AFA0700,1071
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,9976
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,52388
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,299
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance debt securities,LE00000,AFL0300,27640
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance loans,LE00000,AFL0400,4307
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2007.03,Central government institutions excluding funded social insurance schemes,311,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,9302
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,477
2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,10362
2007.03,Central government institutions excluding funded social insurance schemes,311,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,63315
